UNIT FILE                                      STATE           PRESET
proc-sys-fs-binfmt_misc.automount              static          -
-.mount                                        generated       -
boot-efi.mount                                 generated       -
boot.mount                                     generated       -
dev-hugepages.mount                            static          -
dev-mqueue.mount                               static          -
proc-sys-fs-binfmt_misc.mount                  disabled        disabled
snap-amazon\x2dssm\x2dagent-9881.mount         enabled         enabled
snap-core22-1663.mount                         enabled         enabled
snap-core22-1722.mount                         enabled         enabled
snap-snapd-21759.mount                         enabled         enabled
snap-snapd-23258.mount                         enabled         enabled
sys-fs-fuse-connections.mount                  static          -
sys-kernel-config.mount                        static          -
sys-kernel-debug.mount                         static          -
sys-kernel-tracing.mount                       static          -
acpid.path                                     enabled         enabled
apport-autoreport.path                         enabled         enabled
systemd-ask-password-console.path              static          -
systemd-ask-password-plymouth.path             static          -
systemd-ask-password-wall.path                 static          -
tpm-udev.path                                  enabled         enabled
session-13.scope                               transient       -
acpid.service                                  disabled        enabled
apparmor.service                               enabled         enabled
apport-autoreport.service                      static          -
apport-coredump-hook@.service                  static          -
apport-forward@.service                        static          -
apport.service                                 enabled         enabled
apt-daily-upgrade.service                      static          -
apt-daily.service                              static          -
apt-news.service                               static          -
autovt@.service                                alias           -
blk-availability.service                       enabled         enabled
bolt.service                                   static          -
chrony-dnssrv@.service                         static          -
chrony-wait.service                            disabled        enabled
chrony.service                                 enabled         enabled
chronyd.service                                alias           -
cloud-config.service                           enabled         enabled
cloud-final.service                            enabled         enabled
cloud-init-hotplugd.service                    static          -
cloud-init-local.service                       enabled         enabled
cloud-init.service                             enabled         enabled
console-getty.service                          disabled        disabled
console-setup.service                          enabled         enabled
container-getty@.service                       static          -
cron.service                                   enabled         enabled
cryptdisks-early.service                       masked          enabled
cryptdisks.service                             masked          enabled
dbus-org.freedesktop.hostname1.service         alias           -
dbus-org.freedesktop.locale1.service           alias           -
dbus-org.freedesktop.login1.service            alias           -
dbus-org.freedesktop.ModemManager1.service     alias           -
dbus-org.freedesktop.resolve1.service          alias           -
dbus-org.freedesktop.timedate1.service         alias           -
dbus.service                                   static          -
debug-shell.service                            disabled        disabled
dm-event.service                               static          -
dmesg.service                                  enabled         enabled
dpkg-db-backup.service                         static          -
e2scrub@.service                               static          -
e2scrub_all.service                            static          -
e2scrub_fail@.service                          static          -
e2scrub_reap.service                           enabled         enabled
ec2-instance-connect-harvest-hostkeys.service  enabled         enabled
emergency.service                              static          -
envcheck.service                               enabled         enabled
esm-cache.service                              static          -
finalrd.service                                enabled         enabled
friendly-recovery.service                      static          -
fstrim.service                                 static          -
fwupd-offline-update.service                   static          -
fwupd-refresh.service                          static          -
fwupd.service                                  static          -
getty-static.service                           static          -
getty@.service                                 enabled         enabled
grub-common.service                            enabled         enabled
grub-initrd-fallback.service                   enabled         enabled
hibagent.service                               generated       -
hibinit-agent.service                          enabled         enabled
hwclock.service                                masked          enabled
initrd-cleanup.service                         static          -
initrd-parse-etc.service                       static          -
initrd-switch-root.service                     static          -
initrd-udevadm-cleanup-db.service              static          -
irqbalance.service                             enabled         enabled
iscsi.service                                  alias           -
iscsid.service                                 disabled        enabled
isuride-go.service                             enabled         enabled
isuride-matcher.service                        enabled         enabled
isuride-node.service                           disabled        enabled
isuride-payment_mock.service                   enabled         enabled
isuride-perl.service                           disabled        enabled
isuride-php.service                            disabled        enabled
isuride-python.service                         disabled        enabled
isuride-ruby.service                           disabled        enabled
isuride-rust.service                           disabled        enabled
keyboard-setup.service                         enabled         enabled
kmod-static-nodes.service                      static          -
kmod.service                                   alias           -
ldconfig.service                               static          -
logrotate.service                              static          -
lvm2-lvmpolld.service                          static          -
lvm2-monitor.service                           enabled         enabled
lxd-agent.service                              static          -
lxd-installer@.service                         static          -
man-db.service                                 static          -
mdadm-grow-continue@.service                   static          -
mdadm-last-resort@.service                     static          -
mdcheck_continue.service                       static          -
mdcheck_start.service                          static          -
mdmon@.service                                 static          -
mdmonitor-oneshot.service                      static          -
mdmonitor.service                              static          -
ModemManager.service                           enabled         enabled
modprobe@.service                              static          -
motd-news.service                              static          -
multipath-tools-boot.service                   masked          enabled
multipath-tools.service                        alias           -
multipathd.service                             enabled         enabled
mysql.service                                  enabled         enabled
netplan-ovs-cleanup.service                    enabled-runtime enabled
networkd-dispatcher.service                    enabled         enabled
nftables.service                               disabled        enabled
nginx.service                                  enabled         enabled
open-iscsi.service                             enabled         enabled
open-vm-tools.service                          enabled         enabled
packagekit-offline-update.service              static          -
packagekit.service                             static          -
pam_namespace.service                          static          -
plymouth-halt.service                          static          -
plymouth-kexec.service                         static          -
plymouth-log.service                           alias           -
plymouth-poweroff.service                      static          -
plymouth-quit-wait.service                     static          -
plymouth-quit.service                          static          -
plymouth-read-write.service                    static          -
plymouth-reboot.service                        static          -
plymouth-start.service                         static          -
plymouth-switch-root-initramfs.service         static          -
plymouth-switch-root.service                   static          -
plymouth.service                               alias           -
polkit.service                                 static          -
pollinate.service                              enabled         enabled
procps.service                                 alias           -
quotaon.service                                static          -
rc-local.service                               static          -
rescue.service                                 static          -
rsync.service                                  disabled        enabled
rsyslog.service                                enabled         enabled
screen-cleanup.service                         masked          enabled
secureboot-db.service                          enabled         enabled
serial-getty@.service                          indirect        enabled
setvtrgb.service                               enabled         enabled
snap.amazon-ssm-agent.amazon-ssm-agent.service enabled         enabled
snapd.apparmor.service                         enabled         enabled
snapd.autoimport.service                       enabled         enabled
snapd.core-fixup.service                       enabled         enabled
snapd.failure.service                          static          -
snapd.recovery-chooser-trigger.service         enabled         enabled
snapd.seeded.service                           enabled         enabled
snapd.service                                  enabled         enabled
snapd.snap-repair.service                      static          -
snapd.system-shutdown.service                  enabled         enabled
ssh.service                                    disabled        enabled
sudo.service                                   masked          enabled
syslog.service                                 alias           -
sysstat-collect.service                        static          -
sysstat-summary.service                        static          -
sysstat.service                                enabled         enabled
system-update-cleanup.service                  static          -
systemd-ask-password-console.service           static          -
systemd-ask-password-plymouth.service          static          -
systemd-ask-password-wall.service              static          -
systemd-backlight@.service                     static          -
systemd-battery-check.service                  static          -
systemd-binfmt.service                         static          -
systemd-boot-check-no-failures.service         disabled        disabled
systemd-bsod.service                           static          -
systemd-confext.service                        disabled        enabled
systemd-exit.service                           static          -
systemd-firstboot.service                      static          -
systemd-fsck-root.service                      enabled-runtime enabled
systemd-fsck@.service                          static          -
systemd-fsckd.service                          static          -
systemd-growfs-root.service                    static          -
systemd-growfs@.service                        static          -
systemd-halt.service                           static          -
systemd-hibernate-resume.service               static          -
systemd-hibernate.service                      static          -
systemd-hostnamed.service                      static          -
systemd-hwdb-update.service                    static          -
systemd-hybrid-sleep.service                   static          -
systemd-initctl.service                        static          -
systemd-journal-catalog-update.service         static          -
systemd-journal-flush.service                  static          -
systemd-journald.service                       static          -
systemd-journald@.service                      static          -
systemd-kexec.service                          static          -
systemd-localed.service                        static          -
systemd-logind.service                         static          -
systemd-machine-id-commit.service              static          -
systemd-modules-load.service                   static          -
systemd-network-generator.service              disabled        enabled
systemd-networkd-wait-online.service           enabled         enabled
systemd-networkd-wait-online@.service          disabled        enabled
systemd-networkd.service                       enabled         enabled
systemd-pcrextend@.service                     static          -
systemd-pcrfs-root.service                     static          -
systemd-pcrfs@.service                         static          -
systemd-pcrlock-file-system.service            disabled        enabled
systemd-pcrlock-firmware-code.service          disabled        enabled
systemd-pcrlock-firmware-config.service        disabled        enabled
systemd-pcrlock-machine-id.service             disabled        enabled
systemd-pcrlock-make-policy.service            disabled        enabled
systemd-pcrlock-secureboot-authority.service   disabled        enabled
systemd-pcrlock-secureboot-policy.service      disabled        enabled
systemd-pcrmachine.service                     static          -
systemd-pcrphase-initrd.service                static          -
systemd-pcrphase-sysinit.service               static          -
systemd-pcrphase.service                       static          -
systemd-poweroff.service                       static          -
systemd-pstore.service                         enabled         enabled
systemd-quotacheck.service                     static          -
systemd-random-seed.service                    static          -
systemd-reboot.service                         static          -
systemd-remount-fs.service                     enabled-runtime enabled
systemd-repart.service                         static          -
systemd-resolved.service                       enabled         enabled
systemd-rfkill.service                         static          -
systemd-soft-reboot.service                    static          -
systemd-storagetm.service                      static          -
systemd-suspend-then-hibernate.service         static          -
systemd-suspend.service                        static          -
systemd-sysctl.service                         static          -
systemd-sysext.service                         disabled        enabled
systemd-sysext@.service                        static          -
systemd-sysupdate-reboot.service               indirect        enabled
systemd-sysupdate.service                      indirect        enabled
systemd-sysusers.service                       static          -
systemd-time-wait-sync.service                 disabled        disabled
systemd-timedated.service                      static          -
systemd-tmpfiles-clean.service                 static          -
systemd-tmpfiles-setup-dev-early.service       static          -
systemd-tmpfiles-setup-dev.service             static          -
systemd-tmpfiles-setup.service                 static          -
systemd-tpm2-setup-early.service               static          -
systemd-tpm2-setup.service                     static          -
systemd-udev-settle.service                    static          -
systemd-udev-trigger.service                   static          -
systemd-udevd.service                          static          -
systemd-update-done.service                    static          -
systemd-update-utmp-runlevel.service           static          -
systemd-update-utmp.service                    static          -
systemd-user-sessions.service                  static          -
systemd-volatile-root.service                  static          -
tpm-udev.service                               static          -
ua-reboot-cmds.service                         enabled         enabled
ua-timer.service                               static          -
ubuntu-advantage.service                       enabled         enabled
udev.service                                   alias           -
udisks2.service                                enabled         enabled
ufw.service                                    enabled         enabled
unattended-upgrades.service                    enabled         enabled
update-notifier-download.service               static          -
update-notifier-motd.service                   static          -
usb_modeswitch@.service                        static          -
user-runtime-dir@.service                      static          -
user@.service                                  static          -
uuidd.service                                  indirect        enabled
vgauth.service                                 enabled         enabled
vmtoolsd.service                               alias           -
x11-common.service                             masked          enabled
xfs_scrub@.service                             static          -
xfs_scrub_all.service                          static          -
xfs_scrub_fail@.service                        static          -
machine.slice                                  static          -
system-systemd\x2dcryptsetup.slice             static          -
system-systemd\x2dveritysetup.slice            static          -
user.slice                                     static          -
acpid.socket                                   enabled         enabled
apport-forward.socket                          enabled         enabled
cloud-init-hotplugd.socket                     enabled         enabled
dbus.socket                                    static          -
dm-event.socket                                enabled         enabled
iscsid.socket                                  enabled         enabled
lvm2-lvmpolld.socket                           enabled         enabled
lxd-installer.socket                           enabled         enabled
multipathd.socket                              enabled         enabled
snapd.socket                                   enabled         enabled
ssh.socket                                     enabled         enabled
syslog.socket                                  static          -
systemd-fsckd.socket                           static          -
systemd-initctl.socket                         static          -
systemd-journald-audit.socket                  disabled        enabled
systemd-journald-dev-log.socket                static          -
systemd-journald-varlink@.socket               static          -
systemd-journald.socket                        static          -
systemd-journald@.socket                       static          -
systemd-networkd.socket                        enabled         enabled
systemd-pcrextend.socket                       disabled        enabled
systemd-rfkill.socket                          static          -
systemd-sysext.socket                          disabled        enabled
systemd-udevd-control.socket                   static          -
systemd-udevd-kernel.socket                    static          -
uuidd.socket                                   enabled         enabled
basic.target                                   static          -
blockdev@.target                               static          -
bluetooth.target                               static          -
boot-complete.target                           static          -
cloud-config.target                            static          -
cloud-init.target                              enabled-runtime enabled
cryptsetup-pre.target                          static          -
cryptsetup.target                              static          -
ctrl-alt-del.target                            alias           -
default.target                                 alias           -
emergency.target                               static          -
exit.target                                    disabled        disabled
factory-reset.target                           static          -
final.target                                   static          -
first-boot-complete.target                     static          -
friendly-recovery.target                       static          -
getty-pre.target                               static          -
getty.target                                   static          -
graphical.target                               static          -
halt.target                                    disabled        disabled
hibernate.target                               static          -
hybrid-sleep.target                            static          -
initrd-fs.target                               static          -
initrd-root-device.target                      static          -
initrd-root-fs.target                          static          -
initrd-switch-root.target                      static          -
initrd-usr-fs.target                           static          -
initrd.target                                  static          -
integritysetup-pre.target                      static          -
integritysetup.target                          static          -
kexec.target                                   disabled        disabled
local-fs-pre.target                            static          -
local-fs.target                                static          -
multi-user.target                              static          -
network-online.target                          static          -
network-pre.target                             static          -
network.target                                 static          -
nss-lookup.target                              static          -
nss-user-lookup.target                         static          -
paths.target                                   static          -
poweroff.target                                disabled        disabled
printer.target                                 static          -
reboot.target                                  disabled        enabled
remote-cryptsetup.target                       disabled        enabled
remote-fs-pre.target                           static          -
remote-fs.target                               enabled         enabled
remote-veritysetup.target                      disabled        enabled
rescue-ssh.target                              static          -
rescue.target                                  static          -
rpcbind.target                                 static          -
runlevel0.target                               alias           -
runlevel1.target                               alias           -
runlevel2.target                               alias           -
runlevel3.target                               alias           -
runlevel4.target                               alias           -
runlevel5.target                               alias           -
runlevel6.target                               alias           -
shutdown.target                                static          -
sigpwr.target                                  static          -
sleep.target                                   static          -
slices.target                                  static          -
smartcard.target                               static          -
snapd.mounts-pre.target                        static          -
snapd.mounts.target                            static          -
sockets.target                                 static          -
soft-reboot.target                             static          -
sound.target                                   static          -
storage-target-mode.target                     static          -
suspend-then-hibernate.target                  static          -
suspend.target                                 static          -
swap.target                                    static          -
sysinit.target                                 static          -
system-update-pre.target                       static          -
system-update.target                           static          -
time-set.target                                static          -
time-sync.target                               static          -
timers.target                                  static          -
umount.target                                  static          -
usb-gadget.target                              static          -
veritysetup-pre.target                         static          -
veritysetup.target                             static          -
apport-autoreport.timer                        enabled         enabled
apt-daily-upgrade.timer                        enabled         enabled
apt-daily.timer                                enabled         enabled
chrony-dnssrv@.timer                           disabled        enabled
dpkg-db-backup.timer                           enabled         enabled
e2scrub_all.timer                              enabled         enabled
fstrim.timer                                   enabled         enabled
fwupd-refresh.timer                            enabled         enabled
logrotate.timer                                enabled         enabled
man-db.timer                                   enabled         enabled
mdadm-last-resort@.timer                       static          -
mdcheck_continue.timer                         enabled         enabled
mdcheck_start.timer                            enabled         enabled
mdmonitor-oneshot.timer                        enabled         enabled
motd-news.timer                                enabled         enabled
snapd.snap-repair.timer                        enabled         enabled
sysstat-collect.timer                          enabled         enabled
sysstat-summary.timer                          enabled         enabled
systemd-sysupdate-reboot.timer                 disabled        enabled
systemd-sysupdate.timer                        disabled        enabled
systemd-tmpfiles-clean.timer                   static          -
ua-timer.timer                                 enabled         enabled
update-notifier-download.timer                 enabled         enabled
update-notifier-motd.timer                     enabled         enabled
xfs_scrub_all.timer                            disabled        enabled

413 unit files listed.
